o/a estudante,student
a/o artista,artist
o/a pianista,pianist
o/a turista,tourist
o/a jornalista,journalist
o carro,automobile
o telefone,telephone
o livro,book
a janela,window
a caneta,pen
o lápis,pencil
a coisa,thing
a vez,time (v)
o tempo,time (t)
a carta,letter
o abajur,table lamp/lampshade
o sofá,sofa
a cadeira,chair
o tapete,carpet
a cortina,curtain
a herança,inheritance
o quadro,painting
o escritório,office
a mesa,table
o relógio,clock
a cozinha,kitchen
o quarto,bedroom
a sala de jantar,dining room
o porão,basement
o carro,car
a motocicleta,motorcycle
a bicicleta,bicycle
o gato,cat
o jardim,garden
o cachorro,dog
a caixa do correio,mailbox
a correspondência,correspondence
a rosa,rose
o fogão,fire
o vinho,wine
a manteiga,butter
o sal,salt
a pimenta,pepper
o copo de vinho,glass of wine
o jornal,newspaper
a xícara,teacup
o garfo,fork
a faca,knife
a tigela,bowl
o guardanapo,napkin
o prato,plate
a colher,spoon
o armário,closet
o chá,tea
o café,coffee
o pão,bread
a agricultura,agriculture
a álgebra,algebra
a América,America
o animal,animal
o acidente,accident
o hotel,hotel
o ônibus,bus
o táxi,taxi
o banheiro,bathroom
o restaurante,restaurant
o banco,bank
a palavra,word
a salada,salad
o trem,train
a cama,bed
o travesseiro,pillow
o cobertor,blanket
o despertador,alarm clock
o espelho,mirror
a pia,wash basin
a toalha,towel
o vaso sanitário,toilet bowl
a televisão,television
o computador,computer
o papel,paper
o cesto de papel,basket
a carta,letter
o selo,stamp
o cartão postal,postcard
o passaporte,passport
a mala,suitcase
a passagem,ticket
a bolsa,bag
a carteira,wallet/idcard
o dinheiro,money
o cartão de crédito,credit card
a máquina fotográfica,camera
o filme,film
a sunga,swimming trunks
o maiô,swimsuit
as sandálias,sandals
a escova de dentes,toothbrush
a pasta de dentes,toothpaste
o sabonete,toilet soap
o aparelho de barbear,razor
o desodorante,deodorant
o pente,comb@5
o casaco,jacket/coat
o guarda-chuva,umbrella
a capa de chuva,poncho
a viseira,visor
o chapéu de praia,beach hat
a bota,boot
as luvas,gloves
o sapato,shoe
o terno,suit
a gravata,tie
a camisa,shirt
o lenço,handkerchief
o lenço de papel,tissue
a jaqueta,jacket
a calça,pants
o jeans,jeans
o short,pair of shorts
a camiseta,tshirt
a cueca,underpants
o vestido,dress
a blusa,blouse/shirt
o uso,use
a saia,skirt
o chuveiro,shower
o suéter,sweater
a combinaçao,slip
o sutiã,bra
a calçinha,panties
a meia-calça,pantyhose
o pijama,pajamas
a camisola,nightdress
o roupão de banho,bathrobe
as flores,flowers
as meias,stockings
os chinelos,slippers
os óculos,glasses
os cheques de viagem,travelers checks
os óculos de sol,sunglasses
a aplicação,application
a atenção,attention
o ato,act (play)
o balão,balloon
o banco,bank
o bife,beef
a garagem,garage
a calma,calm
a capacidade,capacity
a capela,chapel
a capital,capital
o caramelo,caramel
o centro,center
o cheque,check (bank)
o chocolate,chocolate
o cinema,cinema@3
o closet,closet
a companhia,company
a conversação,conversation
o creme,cream
a cultura,culture
a decisão,decision
a declaração,declaration
o desconforto,discomfort
a diferença,difference
a direção,direction
a distância,distance
a divisão,division
o documento,document
o doutor,doctor
a economia,economy
o espaço,space
o esporte,sport
a manha,morning
o dia,day
a tarde,afternoon
a noite,evening
a estabilidade,stability
a estação,station
o estado,state
a estátua,statue
o calendário,calendar
o erro,error
o e-mail,e-mail
a esperiéncia,experience
o extremo,extreme
a expressão,expression
a fama,fame
a família,family
o favor,favor
o festival,festival
o final,final
a figura,figure
o folclore,folklore
a forma,form
o médico,doctor (profession)
o homem,man/human
o doce,sweet/dessert
a fortuna,fortune
a fotografia,photograph
a freqüência,frequency
a fruta,fruit
o futuro,future
a neve,snow
a chuva,rain
o vento,wind
o inverno,winter
o verão,summer
o outono,autumn
a primavera,spring
a idéia,idea
a temperatura,temperature
o termômetro,thermometer
a galáxia,galaxy
a galeria,gallery
a glória,glory
o grupo,group
a avó,grandmother
a tia,aunt
o tio,uncle
o filho,son
o avô,grandfather
o pai,father
a mãe,mother
a filha,daughter
a irmã,sister
o irmão,brother
a história,history
a honra,honor
o humor,humor
o nome,name
os parentes,relatives
a imaginação,imagination
a importáncia,importance
os pais,parents
os filhos,children (f)
as crianças,children (c)
a geladeira,refrigerator
o fogão,stove
a cerveja,beer
o leite,milk
a influência,influence
a informação,information
a instruçao,instruction
